config,model,accuracy,weighted_f1,cohen_kappa,mae,r2,rmse
A_Structured,clf_LogisticRegression,0.42586750788643535,0.3568482515436733,0.07304729235786989,,,
A_Structured,clf_XGBoost,0.3391167192429022,0.3083194662944566,0.01296742167528675,,,
A_Structured,reg_Ridge,,,,5.854019744933017,0.044002161090863634,7.5716577085937145
A_Structured,reg_XGBoost,,,,6.076967809899065,-0.08896817604073881,8.08109312308272
D_Struct+Rubric,clf_LogisticRegression,0.5094637223974764,0.5001041488697568,0.25550890335442766,,,
D_Struct+Rubric,clf_XGBoost,0.49053627760252366,0.4995585491719696,0.2602982184912803,,,
D_Struct+Rubric,reg_Ridge,,,,3.325167552216605,0.7194643272058239,4.101630786768744
D_Struct+Rubric,reg_XGBoost,,,,3.368838943069596,0.689823012080188,4.312879303216456
